CODGEO;EFF_TOT;EFF_AZ;EFF_BE;EFF_FZ;EFF_GU;EFF_OQ;EFF_TOT_1_4;EFF_AZ_1_4;EFF_BE_1_4;EFF_FZ_1_4;EFF_GU_1_4;EFF_OQ_1_4;EFF_TOT_5_9;EFF_AZ_5_9;EFF_BE_5_9;EFF_FZ_5_9;EFF_GU_5_9;EFF_OQ_5_9;EFF_TOT_10_19;EFF_AZ_10_19;EFF_BE_10_19;EFF_FZ_10_19;EFF_GU_10_19;EFF_OQ_10_19;EFF_TOT_20_49;EFF_AZ_20_49;EFF_BE_20_49;EFF_FZ_20_49;EFF_GU_20_49;EFF_OQ_20_49;EFF_TOT_50_99;EFF_AZ_50_99;EFF_BE_50_99;EFF_FZ_50_99;EFF_GU_50_99;EFF_OQ_50_99;EFF_TOT_100_199;EFF_AZ_100_199;EFF_BE_100_199;EFF_FZ_100_199;EFF_GU_100_199;EFF_OQ_100_199;EFF_TOT_200_499;EFF_AZ_200_499;EFF_BE_200_499;EFF_FZ_200_499;EFF_GU_200_499;EFF_OQ_200_499;EFF_TOT_500P;EFF_AZ_500P;EFF_BE_500P;EFF_FZ_500P;EFF_GU_500P;EFF_OQ_500P
59097;74;50;0;2;18;4;18;6;0;2;6;4;7;7;0;0;0;0;12;0;0;0;12;0;37;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59098;1462;4;868;31;234;325;98;4;9;14;63;8;56;0;0;7;44;5;59;0;0;10;10;39;108;0;0;0;47;61;168;0;0;0;70;98;340;0;226;0;0;114;633;0;633;0;0;0;0;0;0;0;0;0
59099;128;0;6;54;29;39;22;0;1;3;14;4;39;0;5;7;15;12;10;0;0;10;0;0;57;0;0;34;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59100;18;0;0;6;3;9;5;0;0;0;3;2;13;0;0;6;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59101;16;5;0;4;4;3;16;5;0;4;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59102;15;4;0;2;1;8;10;4;0;2;1;3;5;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59103;38;1;0;0;23;14;4;1;0;0;0;3;0;0;0;0;0;0;11;0;0;0;0;11;23;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59104;453;1;323;5;39;85;32;1;2;5;11;13;48;0;5;0;28;15;10;0;10;0;0;0;39;0;39;0;0;0;57;0;0;0;0;57;0;0;0;0;0;0;267;0;267;0;0;0;0;0;0;0;0;0
59105;72;6;0;22;14;30;23;1;0;8;14;0;32;5;0;14;0;13;17;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59106;177;35;0;3;120;19;21;1;0;3;14;3;30;5;0;0;9;16;0;0;0;0;0;0;29;29;0;0;0;0;97;0;0;0;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59107;620;4;15;36;280;285;138;4;5;9;111;9;71;0;10;5;39;17;79;0;0;0;63;16;42;0;0;22;0;20;176;0;0;0;67;109;114;0;0;0;0;114;0;0;0;0;0;0;0;0;0;0;0;0
59108;172;9;54;1;6;102;18;2;6;1;6;3;15;7;0;0;0;8;0;0;0;0;0;0;48;0;48;0;0;0;91;0;0;0;0;91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59109;430;0;127;17;254;32;22;0;3;10;9;0;42;0;0;7;28;7;60;0;19;0;41;0;103;0;36;0;42;25;203;0;69;0;134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59110;75;13;6;9;30;17;37;8;6;9;14;0;12;5;0;0;0;7;26;0;0;0;16;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59111;16;7;0;0;0;9;9;7;0;0;0;2;7;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59112;1952;0;204;199;687;862;122;0;9;24;76;13;135;0;11;7;84;33;199;0;27;11;87;74;517;0;157;102;191;67;242;0;0;55;0;187;0;0;0;0;0;0;737;0;0;0;249;488;0;0;0;0;0;0
59113;50;0;0;3;15;32;7;0;0;3;4;0;7;0;0;0;0;7;11;0;0;0;11;0;25;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59114;244;8;14;92;35;95;24;2;2;4;16;0;56;6;12;7;19;12;29;0;0;10;0;19;0;0;0;0;0;0;135;0;0;71;0;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59115;41;11;0;7;9;14;12;2;0;7;3;0;29;9;0;0;6;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59116;36;2;16;0;13;5;8;2;0;0;6;0;12;0;0;0;7;5;16;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59117;142;3;5;0;109;25;9;3;0;0;6;0;23;0;5;0;5;13;12;0;0;0;0;12;25;0;0;0;25;0;73;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59118;277;3;49;34;77;114;38;3;4;2;23;6;56;0;0;9;28;19;61;0;0;23;26;12;122;0;45;0;0;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59119;50;3;0;17;18;12;22;3;0;7;10;2;18;0;0;10;8;0;10;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59120;321;8;9;96;103;105;64;8;3;6;46;1;74;0;6;0;41;27;61;0;0;0;16;45;52;0;0;20;0;32;70;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59121;117;94;0;9;2;12;7;0;0;1;2;4;16;0;0;8;0;8;0;0;0;0;0;0;0;0;0;0;0;0;94;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59122;16720;20;966;563;6196;8975;1418;6;54;64;1160;134;1520;14;61;96;1090;259;1671;0;145;107;1033;386;2806;0;227;243;1201;1135;2205;0;191;53;801;1160;1436;0;0;0;420;1016;2856;0;288;0;491;2077;2808;0;0;0;0;2808
59123;275;23;61;30;127;34;27;2;8;8;8;1;45;11;0;11;14;9;69;10;19;11;29;0;79;0;34;0;21;24;55;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59124;510;14;40;29;349;78;30;3;5;5;15;2;39;0;5;11;15;8;72;11;0;13;12;36;108;0;30;0;46;32;65;0;0;0;65;0;196;0;0;0;196;0;0;0;0;0;0;0;0;0;0;0;0;0
59125;53;24;0;15;2;12;10;3;0;2;2;3;16;7;0;0;0;9;27;14;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59126;354;16;16;1;27;294;31;2;4;1;19;5;17;0;0;0;8;9;26;14;12;0;0;0;48;0;0;0;0;48;132;0;0;0;0;132;100;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
59127;59;3;0;3;3;50;9;3;0;3;3;0;5;0;0;0;0;5;0;0;0;0;0;0;45;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59128;1146;0;132;7;466;541;83;0;1;7;68;7;101;0;13;0;77;11;115;0;0;0;91;24;302;0;39;0;158;105;282;0;79;0;72;131;0;0;0;0;0;0;263;0;0;0;0;263;0;0;0;0;0;0
59129;570;261;87;49;63;110;77;8;2;12;46;9;47;17;0;23;7;0;35;0;0;14;10;11;27;0;0;0;0;27;148;0;85;0;0;63;236;236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59130;126;12;0;32;59;23;24;12;0;3;9;0;24;0;0;9;9;6;17;0;0;0;0;17;61;0;0;20;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59131;987;6;160;130;422;269;118;1;9;9;72;27;157;5;36;20;63;33;189;0;28;64;87;10;253;0;0;37;147;69;140;0;87;0;53;0;130;0;0;0;0;130;0;0;0;0;0;0;0;0;0;0;0;0
59132;101;4;7;3;13;74;21;4;1;3;13;0;12;0;6;0;0;6;11;0;0;0;0;11;0;0;0;0;0;0;57;0;0;0;0;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59133;127;24;15;37;33;18;28;6;2;4;12;4;14;6;0;8;0;0;39;12;13;0;0;14;46;0;0;25;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59134;98;13;4;9;39;33;49;13;4;4;18;10;12;0;0;5;0;7;16;0;0;0;0;16;21;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59135;757;2;81;109;265;300;80;2;2;7;63;6;109;0;25;8;63;13;76;0;0;0;35;41;124;0;0;23;0;101;264;0;54;71;0;139;104;0;0;0;104;0;0;0;0;0;0;0;0;0;0;0;0;0
59136;2820;7;380;37;766;1630;203;7;8;19;152;17;252;0;17;5;179;51;289;0;12;13;156;108;289;0;22;0;31;236;480;0;0;0;123;357;722;0;321;0;125;276;585;0;0;0;0;585;0;0;0;0;0;0
59137;61;10;8;14;14;15;22;10;3;0;9;0;15;0;5;0;5;5;24;0;0;14;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59138;46;6;0;18;6;16;14;6;0;2;6;0;16;0;0;0;0;16;16;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59139;5166;0;1565;197;1915;1489;438;0;40;36;309;53;551;0;62;32;408;49;505;0;170;26;158;151;919;0;295;53;410;161;1066;0;147;50;233;636;626;0;329;0;143;154;539;0;0;0;254;285;522;0;522;0;0;0
59140;24;0;10;1;0;13;5;0;0;1;0;4;19;0;10;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59141;144;4;103;3;22;12;14;4;1;3;2;4;8;0;0;0;0;8;0;0;0;0;0;0;20;0;0;0;20;0;0;0;0;0;0;0;102;0;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59142;22;0;12;0;2;8;4;0;0;0;2;2;6;0;0;0;0;6;12;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59143;3549;51;421;471;1652;954;217;5;23;19;144;26;286;0;50;38;161;37;167;0;0;45;87;35;1006;46;200;233;420;107;693;0;148;136;187;222;463;0;0;0;144;319;717;0;0;0;509;208;0;0;0;0;0;0
59144;37;0;1;15;4;17;7;0;1;2;4;0;6;0;0;0;0;6;24;0;0;13;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59145;126;1;95;3;24;3;19;1;2;3;10;3;0;0;0;0;0;0;14;0;0;0;14;0;0;0;0;0;0;0;93;0;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59146;377;6;51;16;184;120;68;6;2;5;55;0;59;0;6;0;46;7;57;0;0;11;32;14;123;0;43;0;51;29;70;0;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59147;5;2;0;0;0;3;5;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59148;16;4;1;1;0;10;9;4;1;1;0;3;7;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59149;149;2;3;27;59;58;36;2;3;3;18;10;20;0;0;12;0;8;40;0;0;12;16;12;53;0;0;0;25;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59150;18;5;0;0;3;10;6;0;0;0;3;3;12;5;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
